Company Name,Rest of the Details
VÉRITÉ FILMS,"['Production company', '15 Beaufort Rd, Toronto, ON M4E 1M6 Canada 416-693-8245', ' veritefilms.ca imdb.com/company/co0121068', 'facebook.com/pages/V%C3%A9rit%C3%A9-Films-', 'Inc/174261756027334', 'twitter.com/veritecanada', 'Accepts query letters from unproduced, unrepresented writers. Project types include TV. Genres include comedy, drama, and family. Established in 2004.', 'Virginia Thompson', '306-585-1737', ' imdb.com/name/nm1395111']"
VERIZON,"['Production company and distributor', '140 W St, New York, NY, 10007', '212-395-1000 (phone)', '212-571-1897 (fax)', 'verizon.com imdb.com/company/co0208464', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, drama, family, reality, romance, and thriller.']"
VERNON-MCKEE,"['Production company', '749 Ted Pickett, League City, TX 77573 281-554-6655', ' vernonmckee.com imdb.com/company/co0364077', 'facebook.com/Vernon-McKee-170438206387248', 'Does not accept any unsolicited material. Project types include short films. Genres include thriller. Established in 2011.']"
VERTEBRA FILMS,"['Production company', '\n5700 Leete Rd, Lockport, NY 14094', '716-609-9477 (phone)', '716-439-1001 (fax)', '1680 Vine St Ste 503, Hollywood, CA 90028', '323-461-0021 (phone)', '323-461-0031 (fax)', ' vertebrafilms.com imdb.com/company/co0319489 twitter.com/VertebraFilms', 'Does not accept any unsolicited material. Project types include feature films. Genres include horror and thriller. Established in 2010.', 'Mac Cappucino', 'imdb.com/name/nm2225247']"
VERTICAL ENTERTAINMENT,"['Production company and distributor', 'Colorado Center, 2500 Broadway, Ste F-125, Santa Monica, CA 90404', '424-238-4455', ' vert-ent.com', 'imdb.com/company/co0427244', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include drama, family, and thriller.']"
VERTIGO ENTERTAINMENT,"['Production company', '729 Seward St2nd Floor, Los Angeles, CA 90038 323-785-5350', 'imdb.com/company/co0084207', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, animation, comedy, crime, detective, drama, family, fantasy, horror, non-fiction, myth, reality, romance, science fiction, sociocultural, thriller, period, and documentary.']"
VERTIGO FILMS,"['Production company and studio', 'The Big Room Studios 77 Fortess Rd, London, United Kingdom, NW5 1AG', '+44-0-20-7428-7555 (phone)', '+44-0-20-7485-9713 (fax)', ' vertigofilms.com imdb.com/company/co0113509 facebook.com/VertigoFilmsUK twitter.com/vertigofilms', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, comedy, crime, drama, fantasy, horror, romance, science fiction, and thriller. Established in 2002.', 'NIck Love', 'imdb.com/name/nm0522393', 'Jim Spencer', 'Producer imdb.com/name/nm2005794', 'Rupert Preston', 'Producer imdb.com/name/nm0696486', 'Allan Niblo', 'Producer imdb.com/name/nm0629242', 'James Richardson Producer imdb.com/name/nm0724597']"
VESTALIA PRODUCTIONS,"['Production company', '210 W Glen Ave, Ridgewood, NJ 07450 201-835-7778 (phone)', '201-670-4931 (fax)', ' imdb.com/company/co0169260', 'Does not accept any unsolicited material. Project types include short films. Genres include drama.']"
VH1,"['Production company', '2600 Colorado Ave, Santa Monica, CA 90404 310-752-8000', '\n vh1.com', 'imdb.com/company/co0045189 facebook.com/VH1 twitter.com/VH1', 'Accepts query letters from unproduced, unrepresented writers. Project types include TV. Genres include comedy, drama, non-fiction, and romance. Established in 1986.', 'Van Toffler', '212-846-8000', ' imdb.com/name/nm0865508']"
VHX,"['Distributor', '231 Front St, Ste 214, Brooklyn, NY 11201', '347-689-1458', ' imdb.com/company/co0450816', 'Does not accept any unsolicited material.', 'Jamie Wilkinson', 'Executive', '347-689-1458', 'imdb.com/name/nm6920411']"
VIACOM INC.,"['Production company', '1515 Broadway, New York, NY 10036', '212-258-6000', 'viacom.com imdb.com/company/co0077647 facebook.com/viacom twitter.com/viacom', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, drama, and non- fiction. Established in 1971.', 'Philippe Dauman', '212-258-6000', ' imdb.com/name/nm2449184', 'VICE FILMS', 'Production company and distributor 589 Venice Blvd, Venice, CA 90291', '97 N 10th St Ste 204, Brooklyn, NY 11211', '718-599-3101', ' vice.com', 'imdb.com/company/co0219266', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, drama, and documentary. Established in 2006.']"
VICIOUS APPLE PRODUCTIONS,"['Production company', 'Brooklyn, NY 347-619-3852', 'imdb.com/company/co0541329', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include horror and thriller. Established in 2015.']"
VICTORY FILM GROUP,"['Production company', '033 Main St, Ste 400, Sarasota, FL 34237', ' imdb.com/company/co0342499', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include comedy, crime, and drama.', 'Stephen K. Bannon Director imdb.com/name/nm0052442']"
VIDEOARTS JAPAN,"['Production company and distributor', '2F Akasaka Hill-Side Bld.2-18-1, Akasaka, Minato- Ku, Tokyo 107-0052, Japan', '+81-3-6229-0751 (phone)', '+81-3-6229-0754 (fax)', '\n videoartsmusic.com imdb.com/company/co0126378', 'Does not accept any unsolicited material. Project types include TV. Genres include documentary.']"
VIDEO FOCUS,"['Production company', '2-7, Wakaba, Shinjuku, Tokyo 160-0011, Japan', '03-3353-3371 (phone)', '03-3353-3630 (fax)', ' videofocus.co.jp imdb.com/company/co0283815', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy, drama, and romance.', 'Toshiya Tsubonouchi Producer imdb.com/name/nm5187733']"
VIDEOSONIC,"['Production company and distributor', '1, Evridamantos & Lagoumitzi St, Athens 11745', ' imdb.com/company/co0061607', 'Does not accept any unsolicited material. Project types include TV. Genres include drama and thriller.']"
VILLAGE ROADSHOW PICTURES,"['Production company', '10100 Santa Monica Blvd Ste 200, Los Angeles, CA 90067', '310-385-4300 (phone)', '310-385-4301 (fax)', ' vreg.com', 'imdb.com/company/co0108864', 'Does not accept any unsolicited material. Project types include feature films. Established in 1998.', 'Bruce Berman', '310-385-4300', 'imdb.com/name/nm0075732 Assistant: Suzy Figueroa', 'Matt Skiena', '310-385-4300', ' imdb.com/name/nm3466832']"
VILLANOVISION FILMS,"['Production company', '6 Jupiter St, Colonia, NJ 07067', '732-388-5551', ' imdb.com/company/co0382701', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, drama, and science fiction.']"
VINCENT CIRRINCIONE ASSOCIATES,"['Production company', '1516 N Fairfax Ave, Los Angeles, CA 90046 323-850-8080', ' imdb.com/company/co0090082 linkedin.com/company/vincent-cirrincione-associates facebook.com/vcatalent', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV. Genres include drama and thriller.', 'Vincent Cirrincione Owner/Producer imdb.com/name/nm0162801']"
VINCENT NEWMAN ENTERTAINMENT,"['Production company', '8840 Wilshire Blvd 3rd Fl, Los Angeles, CA 90211 310-358-3050 (phone)', '310-358-3289 (fax)', ' imdb.com/company/co0163095', '\nAccepts query letters from unproduced, unrepresented writers via email. Project types include TV. Genres include action, comedy, drama, fantasy, myth, and thriller. Established in 2011.', 'John Funk', 'Director/Writer linkedin.com/pub/john-funk/a/4a3/924', 'Vincent Newman', '310-358-3050', ' imdb.com/name/nm0628304 Assistant: John Funk']"
VINCENZO PRODUCTIONS,"['Production company', '48 Mountainside Rd, Mendham, NJ 07945', '201-776-7868', ' imdb.com/company/co0370795', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include thriller.']"
VIN DI BONA PRODUCTIONS,"['Production company', '12233 W Olympic Blvd, Ste 170, Los Angeles, CA 90064', '310-442-5600', 'afv.com imdb.com/company/co0017060', 'linkedin.com/company/vin-di-bona-productions facebook.com/AFVOfficial', 'Accepts query letters from unproduced, unrepresented writers. Project types include TV. Genres include comedy. Established in 1987.', 'Joanne Moore', 'President imdb.com/name/nm0601370', 'Cara Di Bona', 'imdb.com/name/nm0223685', 'Vin DiBona', 'Chairman imdb.com/name/nm0223688', 'VINEYARD FILM PRODUCTIONS', 'Production company', 'PO Box 3646, Brentwood, TN 37024-3646', '615-794-7592 (phone)', '615-794-7593 (fax)', 'vineyardfilmproductions.com imdb.com/company/co0382803', 'Accepts query letters from produced or represented writers. Project types include feature films, short films, and TV. Genres include drama and documentary.', 'Established in 2011.']"
VINTON ENTERTAINMENT,"['Production company', '1100 Glendon Ave, Los Angeles, CA 90024-3503', ' vintonentertainment.com imdb.com/company/co0467460 linkedin.com/company/vinton-studios facebook.com/pages/Laika-company/', '104039669631769', 'Does not accept any unsolicited material. Project types include feature films. Genres include animation.', 'Established in 2004.']"
VIRGIN EARTH,"['Production company', 'Honey Building B2F, 3-35-8 Jingumae, Shibuya-Ku, Tokyo 150-0001, Japan', '+81-3-5414-7660 (phone)', '+81-3-5414-7661 (fax)', ' virginearthinc.com imdb.com/company/co0025119', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include documentary.', 'Rinse Koornstra', 'Producer imdb.com/name/nm5445881']"
VIRGIN PRODUCED,"['Production company', '\n12655 W Jefferson Blvd 6th Fl, Playa Vista, CA 90066 310-941-7300', '901,9th Floor, Notan Classic Bldg, F/891-B, Turner Rd, Bandra (West), Mumbai 400 050 India', '315 S Beverly Dr, Ste 506, Beverly Hills, CA 90212 310-941-7300', ' virginproduced.com imdb.com/company/co0310456 facebook.com/VIRGINproduced twitter.com/VIRGINproduced', 'Does not accept any unsolicited material. Project types include TV. Genres include action, animation, comedy, drama, fantasy, and thriller. Established in 2010.', 'Rebecca Farrell', 'imdb.com/name/nm2761874', 'Jason Felts', 'CEO', '310-941-7300', ' imdb.com/name/nm1479777']"
VIRGIN PRODUCED,"['Production company and distributor', '903 Colorado Ave, Santa Monica, CA 90401 310-941-7300', ' virginproduced.com imdb.com/company/co0310456', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy, drama, romance, and thriller.']"
VISCERAL PSYCHE FILMS,"['Production company and distributor', '1-11-6-6F, Oh-I, Shinagawa, Tokyo 140-0014, Japan 03-3775-7441 (phone)', '03-3775-7442 (fax)', ' visceralpsyche.com imdb.com/company/co0180725 facebook.com/visceralpsyche', 'twitter.com/visceralpsyche', 'Does not accept any unsolicited material. Project types include TV. Genres include drama.', 'Paul Leeming', 'Producer imdb.com/name/nm2283467']"
VISILEX PRODUCTIONS,"['Production company', 'C/O Naskret/Selzer & Associates, 3 Becker Farm Rd,', 'Roseland, NJ 07068', ' charleskipps.com imdb.com/company/co0239824 twitter.com/times2ck', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include drama. Established in 2009.']"
VISION BEQUEST FILMWORKS,"['Production company', 'P.O. Box 590843, Houston, TX 77259', ' imdb.com/company/co0230942', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include comedy, drama, and thriller. Established in 1998.']"
VISION FILMS,"['Production company, distributor, and sales agent', '14945 Ventura Blvd, Ste 306, Sherman Oaks, CA, 91403', '818-784-1702 (phone)', '818-788-3715 (fax)', ' visionfilms.net imdb.com/company/co0070863', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, drama, family, and thriller.', '\nVISION FILMS', 'Production company, distributor, and sales agent', '14945 Ventura Blvd Ste 306, Sherman Oaks, CA 91403', '818-784-1702 (phone)', '818-788-3715 (fax)', ' visionfilms.net imdb.com/company/co0070863', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, animation, comedy, crime, detective, drama, family, fantasy, horror, non-fiction, myth, reality, romance, science fiction, sociocultural, thriller, period, and documentary.']"
"VISION FILMS, INC.","['Studio', '14945 Ventura Blvd, Sherman Oaks, CA 91403 818-784-1702 (phone)', '818-788-3715 (fax)', 'visionfilms.net imdb.com/company/co0070863 linkedin.com/pub/vision-films/66/a61/8b1 facebook.com/VisionFilmsInc', 'Does not accept any unsolicited material. Project types include feature films, short films, and commercials.', 'Genres include family and documentary. Established in 1997.', 'Monique Green Director of Finance ', 'Adam Wright Executive Vice-President ', 'Lise Romanoff', 'CEO', ' imdb.com/name/nm0738983']"
VISION-X PRODUCTIONS,"['Production company', '3481 Lakeside Dr, NE Ste #1904, Atlanta, GA 30326', '678-732-3810', ' visionxproductions.com imdb.com/company/co0379681 facebook.com/ken.farrington twitter.com/Ken_Farrington', 'Accepts query letters from produced or represented writers. Project types include TV. Genres include horror and thriller.']"
VISIT FILMS,"['Distributor and sales agent', '173 Richardson St, Brooklyn, NY 11222', '718-312-8210 (phone)', '718-362-4865 (fax)', ' visitfilms.com imdb.com/company/co0173924', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, drama, family, and romance.']"
VISUALWORKS,"['Production company', '1-33-8-13F, Higashi Ikebukuro, Toshima, Tokyo 170-0013, Japan', '03-5911-7316 (phone)', '03-5911-7317 (fax)', ' visualworks.co.jp imdb.com/company/co0219083', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy.', 'Yasuzo Toyoda', 'Chief Executive Officer imdb.com/name/nm2798730']"
VITALITY MEDIA PRODUCTIONS,"['Production company', 'Los Angeles, CA 310-598-7046', '\n2 St Clair Ave West, Ste 1012, Toronto, ON M4V 1L5, Canada', '416-975-1161 (phone)', '416-975-0422 (fax)', ' vitalitymedia.com imdb.com/company/co0182446', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV. Genres include comedy, crime, drama, romance, and thriller. Established in 2003.']"
VOLTAGE PICTURES,"['Production company, distributor, and sales agent', '116 N Robertson Blvd, Ste 200, Los Angeles, CA, 90048', '323-606-7630 (phone)', '323-315-7115 (fax)', ' voltagepictures.com imdb.com/company/co0179337', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, drama, family, and thriller.', 'Zev Foreman', 'President (Production ) imdb.com/name/nm2303301']"
VOLTAGE PRODUCTIONS,"['Production company', '116 N Robertson Blvd, Ste 200, Los Angeles, CA 90048 USA', '323-606-7630 (phone)', '323-315-7115 (fax)', ' voltagepictures.com imdb.com/company/co0179337', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, animation, drama, fantasy, non-fiction, romance, and science fiction. Established in 2011.', 'Craig Flores imdb.com/name/nm1997836 Assistant: Edmond Guidry', 'Zev Foreman', 'Head of Development imdb.com/name/nm2303301']"
VON ZERNECK SERTNER FILMS,"['Production company', 'c/o HCVT, 11444 W Olympic Blvd 11th Fl, Los Angeles, CA 90064', '310-652-3020', ' vzsfilms.com', 'imdb.com/company/co0094479', 'Does not accept any unsolicited material. Genres include crime, detective, drama, non-fiction, and thriller. Established in 1987.', 'Robert M. Srtner', 'Partner imdb.com/name/nm0785750', 'Frank Von Zerneck', 'Partner', '310-652-3020', ' imdb.com/name/nm0903273']"
VOX3 FILMS,"['Production company and distributor', '315 Bleecker St #111, New York, NY 10014', '212-741-0406 (phone)', '212-741-0424 (fax)', ' imdb.com/company/co0146502 facebook.com/pages/Vox3-Films/110031625098', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy, drama, romance, and thriller. Established in 2004.', 'Andrew Fierberg', '212-741-0406', 'imdb.com/name/nm0276404', '\nChristina Lurie', 'Partner imdb.com/name/nm1417371', 'Steven Shainberg Partner imdb.com/name/nm078760']"
V.P.R. STUDIOS PRODUCTION,"['Production company', 'Universal Plaza, Universal City, CA 91608 Michigan Ave, Chicago, IL 60611', '630-516-0875', ' imdb.com/company/co0161141', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include action, drama, and thriller. Established in 2009.']"
VULCAN PRODUCTIONS,"['Production company', '505 Fifth Ave S., Ste 900, Seattle WA 98104', '206-342-2000', ' vulcanproductions.com imdb.com/company/co0042766 facebook.com/VulcanInc twitter.com/VulcanInc', 'Does not accept any unsolicited material. Genres include action, non-fiction, and thriller. Established in 1983.', 'Jody Allen', 'President', '206-342-2277', ' imdb.com/name/nm0666580']"
VURV,"['Production company and distributor', '7660 Centurion Parkway Ste 100, Jacksonville, FL 32256', '877-394-5644 (phone)', '904-493-9146 (fax)', ' imdb.com/company/co0183674', 'Accepts query letters from unproduced, unrepresented writers via email. Genres include drama.']"
VVS FILMS,"['Production company and distributor', '365 Bloor St E., Ste 1605, Toronto, ON M4W 3L4, Canada', '416-929-8887 (phone)', '416-929-8890 (fax)', ' vvs.ca', 'imdb.com/company/co0197046', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, family, romance, science fiction, and thriller.']"
W2 MEDIA,"['Distributor and sales agent', '2951 28th St Ste 2001, Sanata Monica, CA 90405', '310-392-0088 (phone)', '310-392-3226 (fax)', ' imdb.com/company/co0332305', 'Does not accept any unsolicited material. Project types include feature films and TV.', 'Warren Nimchuk Producer imdb.com/name/nm3410149']"
WAGTREE,"['Production company', '1113 Murfreesboro Rd, Ste 106-326, Franklin, TN 37064', '615-544-5839', ' imdb.com/company/co0405953', '\nAccepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV. Genres include action, drama, and reality.', 'Established in 2016.']"
WALDEN MEDIA,"['Production company', '711 Atlantic Ave, Boston, MA 02111', '781-418-5300 (phone)', '718-418-5399 (fax)', '1888 Century Park East 14th Fl, Los Angeles, CA 90067', '310-887-1000 (phone)', '310-887-1001 (fax)', ' walden.com', 'imdb.com/company/co0073388 facebook.com/waldenmedia twitter.com/waldenmedia', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Established in 2001.', 'Amanda Palmer', '310-887-1000', 'imdb.com/name/nm2198853', 'Evan Turner', '310-887-1000', 'imdb.com/name/nm1602263', 'Eric Tovell Creative Executive ', 'Assistant: Carol Tang ']"
WALDEN MEDIA,"['Production company and distributor', '711 Atlantic Ave, Boston, MA 02111', '781-418-5300 (phone)', '718-418-5399 (fax)', '1888 Century Park East, 14th Fl, Los Angeles, CA 90067', '310-887-1000 (phone)', '310-887-1001 (fax)', 'walden.com imdb.com/company/co0073388', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, detective, drama, family, fantasy, romance, and thriller.']"
WALKER CABLE PRODUCTIONS,"['Production company', '808 Gladstell #309, Conroe, TX 77304', '936-760-3279', ' walkercableinc.com imdb.com/company/co0184185', 'linkedin.com/pub/walkercable-productions/44/92/759 facebook.com/WalkerCableProductions twitter.com/WalkerCableProd', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV. Genres include action, comedy, and family.']"
WALKER/FITZGIBBON TV & FILM PRODUCTION,"['Production company', '2399 Mt. Olympus, Los Angeles, CA 90046 818-297-0063', ' walkerfitzgibbon.com imdb.com/company/co0171571', 'linkedin.com/company/walker-fitzgibbon-tv-&-film web.facebook.com/WFTVF twitter.com/WalkerFitzFilm', 'Does not accept any unsolicited material. Project types include TV and commercials. Genres include animation, comedy, drama, and non-fiction.', 'Robert W. Walker', 'imdb.com/name/nm0908166', 'Mo Fitzgibbon', '323-469-6800', ' imdb.com/name/nm0280422', '\nWALT BECKER COMPANY', 'Production company', '8530 Wilshire Blvd, Ste 550, Beverly Hills, CA 90211', '323-871-8400', 'imdb.com/company/co0405377', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy. Established in 2007.', 'Kelly Hayes', 'Director of Development & Production imdb.com/name/nm0971886 linkedin.com/pub/kelly-hayes/2a/845/717', 'Ross Putman Development imdb.com/name/nm3819444', 'Walt Becker Writer/Producer imdb.com/name/nm0065608']"
WALT BECKER PRODUCTIONS,"['Production company', '8530 Wilshire Blvd Ste 550, Beverly Hills, CA 90212', '323-871-8400 (phone)', '323-871-2540 (fax)', 'imdb.com/company/co0236068', 'Does not accept any unsolicited material. Project types include TV.', 'Kelly Hayes', 'Director of Development imdb.com/name/nm0971886', 'Walt Becker', 'imdb.com/name/nm0065608']"
WALT DISNEY STUDIO HOME ENTERTAINMENT,"['Production company', '500 S Buena Vista St, Burbank, CA 91521-6369 818-560-1000', 'waltdisneystudios.com imdb.com/company/co0049546', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres include action, animation, comedy, crime, drama, family, fantasy, horror, non-fiction, romance, science fiction, thriller, and documentary. Established in 1952.']"
WANGO FILMS,"['Production company', '281 Mutual St Ste 2206, Toronto, ON M4Y 3C4, Canada', '416-829-4049', ' wangofilms.com imdb.com/company/co0349875', 'facebook.com/Wango-Films-112676668810114 twitter.com/wangofilms', 'Does not accept any unsolicited material. Genres include thriller.', 'April Mullen', 'Producer imdb.com/name/nm0611983']"
WAREHOUZE,"['Production company', '138 E 7th Ave, Vancouver, BC V5T 1M6, Canda 888-874-9275', 'Fort Mason Green Pier 1, San Francisco, CA 94123 888-874-9275 (phone)', '888-874-9275 (fax)', ' imdb.com/company/co0337396 linkedin.com/company/warehouze facebook.com/warehouze twitter.com/warehouze', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, animation, crime, drama, non-fiction, and science fiction. Established in 2007.']"
WARNER BROS. PICTURES,"['Production company and distributor', '\n1325 Ave of the Americas 32nd Floor, New York NY 10019', '212-636-5000', '98 Theobalds Rd, London United Kingdom WC1X 8WB', '011-442-079845200 (phone)', '011-442-079845551 (fax)', 'Warner Suite, Leavesden Studios South Way, Watford, United Kingdom WD25 7LT', '011-441-923685222 (phone)', '011-441-923685221 (fax)', '4000 Warner Blvd, Burbank , CA 91522 818-954-6000', 'warnerbros.com imdb.com/company/co0215074', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, drama, family, and thriller.', 'Greg Silverman', 'President (Creative Development and Worldwide Production)', '818-954-1848', 'imdb.com/name/nm0798909']"
WARNER BROS. TELEVISION GROUP,"['Production company and distributor', '4000 Warner Blvd, Burbank, CA 91522-0001', '818-954-6000', ' warnerbros.com imdb.com/company/co0253255 linkedin.com/company/2470 facebook.com/warnerbrosent twitter.com/Warnerbrosent', 'Does not accept any unsolicited material. Project types include TV. Genres include action, animation, comedy, drama, family, fantasy, non-fiction, myth, romance, and thriller. Established in 2005.', 'Bruce Rosenblum', 'President  imdb.com/name/nm2686463', 'WARNER BROTHERS', 'Production company, distributor, and sales agent', '4000 Warner Blvd, Burbank, CA 91522', '818-954-6000', 'warnerbros.com imdb.com/company/co0025059', 'Does not accept any unsolicited material. Project types include TV. Genres include action, animation, comedy, crime, detective, drama, family, fantasy, horror, non-fiction, myth, reality, romance, science fiction, sociocultural, thriller, period, and documentary.']"
WARNER BROTHERS ANIMATION,"['Production company', '411 N Hollywood Way, Burbank, CA 91505 818-977-8700', ' warnerbros.com imdb.com/company/co0072876 linkedin.com/company/2470 facebook.com/warnerbrosent twitter.com/Warnerbrosent', 'Does not accept any unsolicited material. Project types include TV. Genres include animation. Established in 1930.', 'Sam Register', 'Executive Vice-President, Creative  imdb.com/name/nm1882146']"
WARNER BROTHERS ENTERTAINMENT INC.,"['Production company', '4000 Warner Blvd, Burbank, CA 91522-0001', '818-954-6000', 'warnerbros.com imdb.com/company/co0080422 linkedin.com/company/2470 facebook.com/warnerbrosent twitter.com/Warnerbrosent', 'Does not accept any unsolicited material. Project types include TV. Genres include action, animation,', '\ncomedy, crime, detective, drama, family, fantasy, non- fiction, myth, romance, science fiction, and thriller. Established in 1923.', 'Barry Meyer  imdb.com/name/nm0583028']"
WARNER BROTHERS HOME ENTERTAINMENT,"['Production company and studio', '4000 Warner Blvd, Burbank, CA 91522-0001', '818-954-6000', ' warnerbros.com imdb.com/company/co0200179 linkedin.com/company/2470 facebook.com/warnerbrosent twitter.com/Warnerbrosent', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres include action, animation, comedy, crime, drama, family, fantasy, horror, non-fiction, myth, romance, science fiction, and thriller. Established in 2005.', 'Kevin Tsujihara', 'President  imdb.com/name/nm2493597']"
WARNER BROTHERS PICTURES,"['Production company', '4000 Warner Blvd, Burbank, CA 91522-0001', '818-954-6000', ' warnerbros.com imdb.com/company/co0026840 linkedin.com/company/2470 facebook.com/warnerbrosent twitter.com/Warnerbrosent', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, animation, comedy, crime, detective, drama, family, fantasy, non-fiction, myth, romance, and thriller.', 'Established in 1923.', 'Greg Silverman imdb.com/name/nm0798909 Assistant: Cate Adams', 'Racheline Benveniste Creative Executive imdb.com/name/nm3367909 Assistant: Matthew Crespy', 'Lynn Harris', 'Executive Vice President of Production imdb.com/name/nm0365036 Assistant: Alexandra Amin', 'Jeff Robinov', 'President  imdb.com/name/nm0732268 Assistant: Carrie Frymer']"
WARNER HORIZON TELEVISION,"['Production company and distributor', '4000 Warner Blvd, Burbank, CA 91522-0001', '818-954-6000', ' warnerbros.com imdb.com/company/co0183230 linkedin.com/company/2470 facebook.com/warnerbrosent twitter.com/Warnerbrosent', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, family, fantasy, romance, science fiction, and thriller. Established in 2006.', 'inc val', 'Head of Creative and Interactive ', 'Peter Roth', 'President', '818-954-6000', ' imdb.com/name/nm2325137']"
WARNER HORIZON TELEVISION,"['Production company and distributor', '\n3601 W Olive Ave, Burbank, CA 91505 818-954-6000', 'warnerbros.com imdb.com/company/co0183230', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy, drama, romance, and thriller.']"
WARNER SISTERS PRODUCTIONS,"['Production company', 'PO Box 50104, Santa Barbara, CA 93150 818-766-6952', ' warnersisters.com imdb.com/company/co0121034 facebook.com/cass.warner twitter.com/cassieowarner', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV. Genres include period and documentary.', 'Established in 2007.', 'Cass Warner', 'imdb.com/name/nm2064300']"
WARPATH,"['Production company', '65 Eckford St, Ste 2, Brooklyn, NY 11222 imdb.com/company/co0492737', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include drama, fantasy, and horror. Established in 2012.']"
WARP FILMS,"['Production company', 'Spectrum House 32-34 Gordon House Rd, London, United Kingdom, NW5 1LP', '011-442-072848350  (phone)', '011-442-072848360 (fax)', ' warp.net/films imdb.com/company/co0251927 facebook.com/warpfilms', 'twitter.com/WarpFilms', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, comedy, drama, horror, non-fiction, romance, and documentary. Established in 2004.', 'Gregory Veeser', 'Development Executive (Executive) 310-606-2053', 'imdb.com/name/nm0891759']"
WARP X,"['Production company', 'Electric Works, Digital Campus, Sheffield S1 2BJ, UK', '+44114-286-6280 (phone)', '+44114-286-6283 (fax)', ' warpfilms.com imdb.com/company/co0202028', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy, crime, drama, horror, thriller, and documentary. Established in 2008.', 'Barry Ryan', 'imdb.com/name/nm1419213', 'Robin Gutch', 'imdb.com/name/nm0349168', 'Mark Herbert', 'Producer imdb.com/name/nm0378591', 'Mary Burke', 'Producer imdb.com/name/nm1537339']"
WARREN MILLER ENTERTAINMENT,"['Production company and distributor', '5720 Flatiron Parkway, Boulder CO 80301', '303-253-6300 (phone)', '303-253-6380 (fax)', ' aimstudios.tv imdb.com/company/co0040142', 'facebook.com/WarrenMillerEntertainment', '\nDoes not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, fantasy, horror, non-fiction, reality, romance, and documentary. Established in 1949.', 'Ginger Sheehy imdb.com/name/nm1200078 linkedin.com/pub/ginger-sheehy/3/849/5b4 twitter.com/gst916', 'Jeffrey Moore', 'Senior Executive Producer  imdb.com/name/nm2545455']"
WARRIOR POETS,"['Production company and distributor', '407 Broome St, New York, NY 10013 212-219-7617 (phone)', '212-219-2920 (fax)', ' warrior-poets.com', 'imdb.com/company/co0169151 facebook.com/WarriorPoetsProductions', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include drama, horror, romance, thriller, and documentary.', 'Established in 2005.', 'Ethan Goldman', 'imdb.com/name/nm1134121', 'Jeremy Chilnick imdb.com/name/nm2505733 Assistant: Marjon Javadi', 'Morgan Spurlock imdb.com/name/nm1041597 Assistant: Emmanuel Moran']"
